2012-09-29 00:00:00,2012-09-29 23:59:59
2012-09-30 00:00:00,2012-09-30 23:59:59
2012-10-01 00:00:00,2012-10-01 23:59:59
2012-10-02 00:00:00,2012-10-02 23:59:59
2012-10-03 00:00:00,2012-10-03 23:59:59
2012-10-04 00:00:00,2012-10-04 23:59:59
2012-10-05 00:00:00,2012-10-05 23:59:59
2012-10-06 00:00:00,2012-10-06 23:59:59
2012-10-07 00:00:00,2012-10-07 23:59:59
2012-10-08 00:00:00,2012-10-08 23:59:59
2012-10-09 00:00:00,2012-10-09 23:59:59
2012-10-10 00:00:00,2012-10-10 23:59:59
2012-10-11 00:00:00,2012-10-11 23:59:59
2012-10-12 00:00:00,2012-10-12 23:59:59
2012-10-13 00:00:00,2012-10-13 23:59:59
2012-10-14 00:00:00,2012-10-14 23:59:59
2012-10-15 00:00:00,2012-10-15 23:59:59
2012-10-16 00:00:00,2012-10-16 23:59:59
2012-10-17 00:00:00,2012-10-17 23:59:59
2012-10-18 00:00:00,2012-10-18 23:59:59
2012-10-19 00:00:00,2012-10-19 23:59:59
2012-10-20 00:00:00,2012-10-20 23:59:59
2012-10-21 00:00:00,2012-10-21 23:59:59
2012-10-22 00:00:00,2012-10-22 23:59:59
2012-10-23 00:00:00,2012-10-23 23:59:59
2012-10-24 00:00:00,2012-10-24 23:59:59
2012-10-25 00:00:00,2012-10-25 23:59:59
2012-10-26 00:00:00,2012-10-26 23:59:59
2012-10-27 00:00:00,2012-10-27 23:59:59
2012-10-28 00:00:00,2012-10-28 23:59:59
2012-10-29 00:00:00,2012-10-29 23:59:59
2012-10-30 00:00:00,2012-10-30 23:59:59
2012-10-31 00:00:00,2012-10-31 23:59:59
2012-11-01 00:00:00,2012-11-01 23:59:59
2012-11-02 00:00:00,2012-11-02 23:59:59
2012-11-03 00:00:00,2012-11-03 23:59:59
2012-11-04 00:00:00,2012-11-04 23:59:59
2012-11-05 00:00:00,2012-11-05 23:59:59
2012-11-06 00:00:00,2012-11-06 23:59:59
2012-11-07 00:00:00,2012-11-07 23:59:59
2012-11-08 00:00:00,2012-11-08 23:59:59
2012-11-09 00:00:00,2012-11-09 23:59:59
2012-11-10 00:00:00,2012-11-10 23:59:59
2012-11-11 00:00:00,2012-11-11 23:59:59
2012-11-12 00:00:00,2012-11-12 23:59:59
2012-11-13 00:00:00,2012-11-13 23:59:59
2012-11-14 00:00:00,2012-11-14 23:59:59
2012-11-15 00:00:00,2012-11-15 23:59:59
2012-11-16 00:00:00,2012-11-16 23:59:59
